"","V1"
"459",44306509
"460",44311978
"461",44312914
"462",44316421
"463",44316464
"464",44316466
"465",44316561
"466",44316571
"467",44316678
"468",44316856
"469",44318784
"470",44319002
"471",44323614
"472",44325124
"473",44325125
"474",44325129
"475",44325133
"476",44325134
"477",44325135
"478",44325138
"479",44325139
"480",44325180
"481",44325181
"482",44325202
"483",44325215
"484",44325216
"485",44325318
"486",44325319
"487",44325320
"488",44325444
"489",44325455
"490",44325457
"491",44325483
"492",44325484
"493",44329206
"494",44329508
"495",44329727
"496",44331831
"497",44331854
"498",44331862
"499",44331873
"500",44334636
"501",44334658
"502",44334707
"503",44335064
"504",44335120
"505",44336430
"506",44336449
"507",44337160
"508",44337394
"509",44337443
"510",44337444
"511",44337576
"512",44337591
"513",44348645
"514",44350380
"515",44350651
"516",44350667
"517",44350794
"518",44353390
"519",44353391
"520",44353454
"521",44353457
"522",44353458
"523",44353468
"524",44354228
"525",44357097
"526",44365777
"527",44366664
"528",44367007
"529",44369919
"530",44371817
"531",44371818
"532",44371878
"533",44371894
"534",44371907
"535",44377350
"536",44377415
"537",44377416
"538",44377417
"539",44377418
"540",44377496
"541",44377510
"542",44377511
"543",44377512
"544",44377582
"545",44377583
"546",44377592
"547",44377655
"548",44377678
"549",44377703
"550",44377704
"551",44377733
"552",44377757
"553",44380063
"554",44380064
"555",44380352
"556",44380353
"557",44380370
"558",44380600
"559",44380931
"560",44381023
"561",44381041
"562",44381048
"563",44381243
"564",44381335
"565",44381336
"566",44381337
"567",44381349
"568",44381356
"569",44381357
"570",44381360
"571",44381517
"572",44381518
"573",44381519
"574",44383702
"575",44383840
"576",44383845
"577",44383903
"578",44383911
"579",44383955
"580",44383956
"581",44384018
"582",44384062
"583",44384534
"584",44385119
"585",44385163
"586",44385170
"587",44385172
"588",44385238
"589",44385239
"590",44385245
"591",44385830
"592",44386782
"593",44396503
"594",44406171
"595",44406306
"596",44406350
"597",44406376
"598",44408411
"599",44408417
"600",44408483
"601",44408484
"602",44408524
"603",44408525
"604",44408526
"605",44408590
"606",44408632
"607",44414725
"608",44414784
"609",44414814
"610",44414890
"611",44416393
"612",44416410
"613",44416411
"614",44416658
"615",44416659
"616",44416676
"617",44418923
"618",44418924
"619",44423024
"620",44423026
"621",44423035
"622",44425365
"623",44425366
"624",44425367
"625",44425368
"626",44425369
"627",44425372
"628",44425373
"629",44425374
"630",44425375
"631",44425376
"632",44425377
"633",44425378
"634",44425379
"635",44425382
"636",44432561
"637",44432563
"638",44432564
"639",44432565
"640",44432566
"641",44432567
"642",44432583
"643",44432589
"644",44432591
"645",44432611
"646",44432613
"647",44432615
"648",44432616
"649",44433159
"650",44436083
"651",44436084
"652",44439873
"653",44439879
"654",44439896
"655",44457580
"656",44457667
"657",44457676
"658",44467662
"659",44541641
"660",44568828
"661",44568829
"662",44573249
"663",44573250
"664",44573251
"665",44573291
"666",44573292
"667",44573293
"668",44573294
"669",44573332
"670",44573333
"671",44573334
"672",44573403
"673",44573404
"674",44573405
"675",44573444
"676",44573445
"677",44573446
"678",44573447
"679",44578135
"680",44583898
"681",44588726
"682",45259500
"683",45260329
"684",45260418
"685",45260460
"686",45260746
"687",45264610
"688",45270599
"689",45271306
"690",45273694
"691",45273695
"692",45483287
"693",45483657
"694",46190939
"695",46226159
"696",46227360
"697",46227361
"698",46227362
"699",46227363
"700",46831100
"701",46877614
"702",46877617
"703",46877619
"704",46877621
"705",46877624
"706",46877629
"707",46877637
"708",46877643
"709",46877644
"710",46877669
"711",46877761
"712",46877762
"713",46877763
"714",46877765
"715",46877816
"716",46877852
"717",46877853
"718",46877854
"719",46877855
"720",46877888
"721",46888570
"722",46888571
"723",46888587
"724",46888588
"725",46888612
"726",49798104
"727",49798105
"728",49798106
"729",49798107
"730",49798108
"731",49798109
"732",49798111
"733",49798112
"734",49798113
"735",49798114
"736",49798115
"737",49799947
"738",49860163
"739",49860165
"740",49860168
"741",49860169
"742",49860170
"743",49863731
"744",49863732
"745",49863733
"746",49863734
"747",49863750
"748",50925450
"749",50994380
"750",50994381
"751",50994458
"752",50994459
"753",50994460
"754",50994461
"755",50994529
"756",50994530
"757",50994531
"758",50994602
"759",53324694
"760",53326806
"761",53388784
"762",54581461
"763",56674946
"764",57390216
"765",57390217
"766",57390707
"767",57391826
"768",57392006
"769",57393724
"770",57393725
"771",57394218
"772",57394219
"773",57394921
"774",57395445
"775",57395446
"776",57395447
"777",57397288
"778",57397289
"779",57397290
"780",57397291
"781",57398976
"782",57398977
"783",57400694
"784",57400695
"785",57401137
"786",57401923
"787",57402288
"788",57402465
"789",57402466
"790",57978865
"791",67933935
"792",70158365
"793",70681328
"794",70682477
"795",70682644
"796",70691453
"797",70695247
"798",70696030
"799",70697111
"800",71449607
"801",71452440
"802",71452441
"803",71454476
"804",71454539
"805",71454569
"806",71454964
"807",71455949
"808",71455950
"809",71458085
"810",71459668
"811",71459888
"812",71460019
"813",71461393
"814",71461674
"815",71624166
"816",71624167
"817",71624287
"818",71624288
"819",71624409
"820",71624412
"821",71624413
"822",71625485
"823",71625600
"824",71625601
"825",71625714
"826",71625715
"827",71625832
"828",71625833
"829",71625948
"830",71625949
"831",71717290
"832",71718530
"833",71719730
"834",71720342
"835",71762505
"836",71818133
"837",71818134
"838",71818277
"839",73345484
"840",73345518
"841",73345526
"842",73345675
"843",73345676
"844",73345677
"845",73345678
"846",73345679
"847",73345882
"848",73345883
"849",73347048
"850",73348396
"851",73348468
"852",73348469
"853",73348534
"854",73348535
"855",73348548
"856",73348687
"857",73348689
"858",73348734
"859",73348784
"860",73349067
"861",73349068
"862",73350058
"863",73350098
"864",73350099
"865",73350102
"866",73350104
"867",73350137
"868",73350142
"869",73350143
"870",73350171
"871",73350639
"872",73351424
"873",73351578
"874",73351589
"875",73351608
"876",73351611
"877",73351837
"878",73351885
"879",73351999
"880",73353046
"881",73353056
"882",73353057
"883",73353090
"884",73353093
"885",73353313
"886",73353598
"887",73353599
"888",73353600
"889",73354382
"890",73354619
"891",73354621
"892",73354622
"893",73354623
"894",73354631
"895",73354725
"896",73354763
"897",73354764
"898",73354765
"899",73354785
"900",73354965
"901",73354966
"902",73355099
"903",73355784
"904",73356102
"905",73356135
"906",73356142
"907",73356143
"908",73356166
"909",73356293
"910",73356294
"911",73356663
"912",73388101
"913",76335380
"914",76335381
"915",90663908
"916",90663910
"917",90664371
"918",90664501
"919",90664521
"920",90664870
"921",90665145
"922",101880775
"923",118718754
"924",118718755
"925",118718757
"926",118718758
"927",118718759
"928",118718760
"929",118718761
"930",118718762
"931",118718763
"932",118718764
"933",118718765
"934",118719100
"935",118731878
"936",118737393
"937",118737394
"938",122178424
"939",122181051
"940",122181052
"941",122181110
"942",122182780
"943",122182782
"944",122182790
"945",122182792
"946",122187205
"947",122187206
"948",122187722
"949",122187723
"950",122187724
"951",122187725
"952",122189395
"953",122189396
"954",122189398
"955",122189399
"956",122189402
"957",122189407
"958",122189409
"959",122189855
"960",122189857
"961",122189858
"962",122189859
"963",122189860
"964",122189861
"965",122189862
"966",122189863
"967",122189901
"968",122190289
"969",122190290
"970",122190291
"971",122190292
"972",122190293
"973",127034976
"974",127034992
"975",127035664
"976",127035665
"977",127035666
"978",127036745
"979",127036746
"980",127037378
"981",127037395
"982",127037396
"983",127037397
"984",127037398
"985",127037399
"986",127037400
"987",127037437
"988",127037438
"989",127043275
"990",127043425
"991",127043432
"992",127043433
"993",127043434
"994",127043614
"995",127043615
"996",127047717
