"","V1"
"463",58296577
"464",58296579
"465",58296580
"466",58296582
"467",58296583
"468",58296584
"469",58296586
"470",58296587
"471",59271992
"472",59451186
"473",59451272
"474",59474212
"475",59487289
"476",60168107
"477",60170608
"478",60170609
"479",60170775
"480",60170776
"481",60170777
"482",62706594
"483",62706595
"484",62706596
"485",62706597
"486",62706598
"487",62706764
"488",62706765
"489",62706766
"490",62706767
"491",62706768
"492",66550842
"493",68314000
"494",68314236
"495",68314305
"496",68314306
"497",68314329
"498",68314366
"499",68314457
"500",68314562
"501",70688692
"502",70691339
"503",70691889
"504",70696992
"505",71449570
"506",71449909
"507",71450548
"508",71451163
"509",71455767
"510",71456309
"511",71457058
"512",71457210
"513",71458037
"514",71460725
"515",71462450
"516",71484494
"517",71566771
"518",71716116
"519",71717930
"520",71746792
"521",71746793
"522",71746968
"523",71769137
"524",71769138
"525",71819403
"526",71819404
"527",72164175
"528",72711945
"529",72711948
"530",72711950
"531",72711952
"532",72711954
"533",72712149
"534",72712151
"535",72712153
"536",72712155
"537",72712157
"538",72712368
"539",72712589
"540",72712592
"541",72712594
"542",72712596
"543",72712793
"544",72712795
"545",72712797
"546",72712799
"547",72712801
"548",72713191
"549",72713193
"550",73346590
"551",73354161
"552",74766534
"553",76335255
"554",77106750
"555",77106752
"556",77107153
"557",86291189
"558",86291191
"559",86302365
"560",86580802
"561",86580957
"562",86582305
"563",86582596
"564",86582746
"565",86582747
"566",86582904
"567",86582906
"568",89702731
"569",90231099
"570",90255560
"571",90255665
"572",90255817
"573",90255818
"574",90255932
"575",90256146
"576",90256251
"577",90644461
"578",90655507
"579",90655508
"580",90655509
"581",90655510
"582",90655512
"583",90655513
"584",90655514
"585",90655970
"586",90656115
"587",90664349
"588",90664791
"589",90664914
"590",90665047
"591",90666576
"592",112500048
"593",117738965
"594",117862193
"595",117862195
"596",117862197
"597",117862200
"598",117862230
"599",118709349
"600",118709350
"601",118709353
"602",118709354
"603",118709356
"604",118709357
"605",118709358
"606",118709360
"607",118710803
"608",118711127
"609",118711128
"610",118711129
"611",118711130
"612",118711131
"613",118711132
"614",118711133
"615",118711136
"616",118711137
"617",118711138
"618",118753644
"619",118988707
"620",121231403
"621",121231404
"622",121231405
"623",121596705
"624",122183214
"625",122183215
"626",122197315
"627",122197316
"628",122197488
"629",122197491
"630",122197494
"631",122197495
"632",122197508
"633",122197509
"634",122197510
"635",124037288
"636",124037300
"637",124037301
"638",124037302
"639",124037303
"640",124037304
"641",127033704
"642",127034153
"643",127040383
"644",127040384
"645",127040385
"646",127041366
"647",127041367
"648",127041630
"649",127041937
"650",127041938
"651",127041939
"652",127041940
"653",127042562
"654",127042605
"655",127042865
"656",127042866
"657",127042867
"658",127042873
"659",127042874
"660",134134325
"661",134134454
"662",134135098
"663",134135406
"664",134135750
"665",134138314
"666",134141509
"667",134143650
"668",134144519
"669",134144978
"670",134145468
"671",134148628
"672",134149865
"673",134150005
"674",134151672
"675",134152069
"676",134152806
"677",134153669
"678",134154692
"679",134154706
"680",134155002
"681",134155192
"682",134155538
"683",134156504
"684",134157486
"685",135411910
"686",135476879
"687",135477410
"688",135495242
"689",135512383
"690",135521622
"691",135691237
